Epochs,Method,Seed,Accuracy,Type
5,c2m3,42,0.08954233915542781,Merged
5,c2m3,123,0.12447490603581693,Merged
5,c2m3,456,0.03139509175326111,Merged
5,c2m3,789,0.055936325447711696,Merged
5,c2m3,101,0.12071633871324343,Merged
5,fedavg,42,0.020782666371877073,Merged
5,fedavg,123,0.09949148795047535,Merged
5,fedavg,456,0.026973247844351095,Merged
5,fedavg,789,0.055936325447711696,Merged
5,fedavg,101,0.0565996020340482,Merged
5,simple_avg,42,0.020782666371877073,Merged
5,simple_avg,123,0.09949148795047535,Merged
5,simple_avg,456,0.026973247844351095,Merged
5,simple_avg,789,0.055936325447711696,Merged
5,simple_avg,101,0.0565996020340482,Merged
5,median,42,0.055936325447711696,Merged
5,median,123,0.055936325447711696,Merged
5,median,456,0.03426929029405262,Merged
5,median,789,0.055936325447711696,Merged
5,median,101,0.055936325447711696,Merged
5,Avg Individual,42,0.20685385805881049,Individual
5,Best Individual,42,0.2575724076940084,Individual
5,Avg Individual,123,0.2280787088215786,Individual
5,Best Individual,123,0.2597833296484634,Individual
5,Avg Individual,456,0.2402387795710811,Individual
5,Best Individual,456,0.2911784214017245,Individual
5,Avg Individual,789,0.14998894539022772,Individual
5,Best Individual,789,0.17731594074729162,Individual
5,Avg Individual,101,0.23793942073844793,Individual
5,Best Individual,101,0.2894096838381605,Individual
10,c2m3,42,0.07251824010612426,Merged
10,c2m3,123,0.04399734689365466,Merged
10,c2m3,456,0.05217775812513818,Merged
10,c2m3,789,0.0565996020340482,Merged
10,c2m3,101,0.06256909131107671,Merged
10,fedavg,42,0.03382710590316162,Merged
10,fedavg,123,0.01989829759009507,Merged
10,fedavg,456,0.01680300685385806,Merged
10,fedavg,789,0.062126906920185715,Merged
10,fedavg,101,0.004421843908910016,Merged
10,simple_avg,42,0.03382710590316162,Merged
10,simple_avg,123,0.01989829759009507,Merged
10,simple_avg,456,0.01680300685385806,Merged
10,simple_avg,789,0.062126906920185715,Merged
10,simple_avg,101,0.004421843908910016,Merged
10,median,42,0.04974574397523768,Merged
10,median,123,0.01989829759009507,Merged
10,median,456,0.01680300685385806,Merged
