Epochs,Method,Accuracy,Std,Median,Min,Max,CI_Lower,CI_Upper
5,c2m3,0.08666814061463632,0.03761843261593502,0.060579261552067214,0.055936325447711696,0.14879504753482203,0.03995868716657547,0.13337759406269717
5,fedavg,0.06327658633650232,0.016764795912196734,0.055936325447711696,0.05151448153880168,0.09661728940968384,0.04246034281509396,0.08409282985791068
5,simple_avg,0.06327658633650232,0.016764795912196734,0.055936325447711696,0.05151448153880168,0.09661728940968384,0.04246034281509396,0.08409282985791068
5,median,0.054698209153216895,0.006244983787835921,0.055936325447711696,0.04687154543444617,0.06500110546097723,0.046944037614494845,0.062452380691938945
5,Avg Individual,0.34491266858279906,0.04148249963205629,0.3418969710369224,0.2730046429361044,0.39451691355295165,0.2934053422341738,0.3964199949314243
5,Best Individual,0.48105239885032053,0.023730681325284313,0.47225292947158964,0.4605350431129781,0.5264205173557374,0.4515868661958686,0.5105179315047725
10,c2m3,0.115233252266195,0.07795980431374454,0.055936325447711696,0.053283219102365685,0.24563342913995137,0.018433369942807726,0.21203313458958228
10,fedavg,0.06318814945832413,0.011364568978216557,0.056157417643157195,0.055936325447711696,0.0853415874419633,0.04907717330296926,0.07729912561367899
10,simple_avg,0.06318814945832413,0.011364568978216557,0.056157417643157195,0.055936325447711696,0.0853415874419633,0.04907717330296926,0.07729912561367899
10,median,0.04731372982533717,0.007374013058423505,0.04930355958434667,0.03404819809860712,0.055936325447711696,0.03815768328840826,0.056469776362266084
10,Avg Individual,0.4769666150784877,0.032095978913670574,0.49277028520893207,0.4316161839487066,0.5095732920627901,0.4371141935742757,0.5168190365826997
10,Best Individual,0.585805881052399,0.031515868491873524,0.5799248286535486,0.5485297369002874,0.6438204731372983,0.5466737617739151,0.6249380003308828
15,c2m3,0.09736900287419856,0.050157355736680544,0.07848772938315278,0.055936325447711696,0.1961087773601592,0.035090420010863176,0.15964758573753393
15,fedavg,0.06411673667919524,0.009891497792955424,0.059252708379394205,0.055936325447711696,0.08202520451028078,0.051834819981370475,0.07639865337702
15,simple_avg,0.06411673667919524,0.009891497792955424,0.059252708379394205,0.055936325447711696,0.08202520451028078,0.051834819981370475,0.07639865337702
15,median,0.04788856953349546,0.007541285935395125,0.04930355958434667,0.03360601370771612,0.055936325447711696,0.038524826287354916,0.05725231277963601
15,Avg Individual,0.5135441078929915,0.030654298871546814,0.5227946053504312,0.46000442184390894,0.54348883484413,0.47548176859401353,0.5516064471919696
15,Best Individual,0.6293168251160735,0.02821212651542562,0.6195003316382932,0.5993809418527526,0.6820694229493699,0.5942868433090995,0.6643468069230474
20,c2m3,0.10829095732920628,0.05859825812984041,0.07649789962414327,0.06787530400176874,0.22197656422728276,0.03553160985193228,0.18105030480648027
20,fedavg,0.05929692681848331,0.013679444217530158,0.055936325447711696,0.04930355958434667,0.08600486402829981,0.04231165341813942,0.0762822002188272
20,simple_avg,0.05929692681848331,0.013679444217530158,0.055936325447711696,0.04930355958434667,0.08600486402829981,0.04231165341813942,0.0762822002188272
20,median,0.04187486181737785,0.013879660191938191,0.04930355958434667,0.021667035153659076,0.055936325447711696,0.024640987449746223,0.05910873618500948
20,Avg Individual,0.5207163387132434,0.03128942492823207,0.5372540349325668,0.46292283882378954,0.5468052177758125,0.4818653862553582,0.5595672911711287
20,Best Individual,0.6329869555604687,0.019264223666408994,0.6312182179969047,0.6060137077161176,0.6652664160955118,0.6090672625805437,0.6569066485403937
25,c2m3,0.10462082688481096,0.04576520862468232,0.08136192792394428,0.07141277912889675,0.19345567101481317,0.047795814965258414,0.1614458388043635
25,fedavg,0.06354189697103693,0.014170336778849352,0.055936325447711696,0.04797700641167367,0.08821578598275481,0.04594709995031697,0.0811366939917569
25,simple_avg,0.06354189697103693,0.014170336778849352,0.055936325447711696,0.04797700641167367,0.08821578598275481,0.04594709995031697,0.0811366939917569
25,median,0.047092637629891666,0.009739104935473438,0.04930355958434667,0.029405261994251603,0.055936325447711696,0.03499994165678568,0.05918533360299765
25,Avg Individual,0.526730046429361,0.03580565545437237,0.5476895865575946,0.4594295821357505,0.5535706389564449,0.48227145311957853,0.5711886397391436
25,Best Individual,0.6415653327437542,0.015043630280762258,0.6515586999778907,0.6155206721202742,0.6548750829095733,0.6228861986218437,0.6602444668656646
