Epochs,Method,Seed,Accuracy,Type
5,c2m3,42,0.14879504753482203,Merged
5,c2m3,123,0.060579261552067214,Merged
5,c2m3,456,0.055936325447711696,Merged
5,c2m3,789,0.11209374309086889,Merged
5,c2m3,101,0.055936325447711696,Merged
5,fedavg,42,0.056378509838602694,Merged
5,fedavg,123,0.09661728940968384,Merged
5,fedavg,456,0.055936325447711696,Merged
5,fedavg,789,0.05151448153880168,Merged
5,fedavg,101,0.055936325447711696,Merged
5,simple_avg,42,0.056378509838602694,Merged
5,simple_avg,123,0.09661728940968384,Merged
5,simple_avg,456,0.055936325447711696,Merged
5,simple_avg,789,0.05151448153880168,Merged
5,simple_avg,101,0.055936325447711696,Merged
5,median,42,0.06500110546097723,Merged
5,median,123,0.04687154543444617,Merged
5,median,456,0.055936325447711696,Merged
5,median,789,0.04974574397523768,Merged
5,median,101,0.055936325447711696,Merged
5,Avg Individual,42,0.3418969710369224,Individual
5,Best Individual,42,0.47225292947158964,Individual
5,Avg Individual,123,0.39451691355295165,Individual
5,Best Individual,123,0.5264205173557374,Individual
5,Avg Individual,456,0.3396418306433783,Individual
5,Best Individual,456,0.48109661728940967,Individual
5,Avg Individual,789,0.2730046429361044,Individual
5,Best Individual,789,0.46495688702188814,Individual
5,Avg Individual,101,0.37550298474463856,Individual
5,Best Individual,101,0.4605350431129781,Individual
10,c2m3,42,0.24563342913995137,Merged
10,c2m3,123,0.16537696219323458,Merged
10,c2m3,456,0.055936325447711696,Merged
10,c2m3,789,0.053283219102365685,Merged
10,c2m3,101,0.055936325447711696,Merged
10,fedavg,42,0.056157417643157195,Merged
10,fedavg,123,0.0853415874419633,Merged
10,fedavg,456,0.055936325447711696,Merged
10,fedavg,789,0.06256909131107671,Merged
10,fedavg,101,0.055936325447711696,Merged
10,simple_avg,42,0.056157417643157195,Merged
10,simple_avg,123,0.0853415874419633,Merged
10,simple_avg,456,0.055936325447711696,Merged
10,simple_avg,789,0.06256909131107671,Merged
10,simple_avg,101,0.055936325447711696,Merged
10,median,42,0.04598717665266416,Merged
10,median,123,0.03404819809860712,Merged
10,median,456,0.04930355958434667,Merged
10,median,789,0.05129338934335618,Merged
10,median,101,0.055936325447711696,Merged
10,Avg Individual,42,0.49277028520893207,Individual
10,Best Individual,42,0.5799248286535486,Individual
10,Avg Individual,123,0.5052398850320583,Individual
10,Best Individual,123,0.584125580367013,Individual
10,Avg Individual,456,0.4316161839487066,Individual
10,Best Individual,456,0.6438204731372983,Individual
10,Avg Individual,789,0.44563342913995124,Individual
10,Best Individual,789,0.5485297369002874,Individual
10,Avg Individual,101,0.5095732920627901,Individual
10,Best Individual,101,0.572628786203847,Individual
15,c2m3,42,0.1961087773601592,Merged
15,c2m3,123,0.08114083572849878,Merged
15,c2m3,456,0.055936325447711696,Merged
15,c2m3,789,0.07848772938315278,Merged
15,c2m3,101,0.07517134645147026,Merged
15,fedavg,42,0.055936325447711696,Merged
15,fedavg,123,0.08202520451028078,Merged
15,fedavg,456,0.059252708379394205,Merged
15,fedavg,789,0.06743311961087774,Merged
15,fedavg,101,0.055936325447711696,Merged
15,simple_avg,42,0.055936325447711696,Merged
15,simple_avg,123,0.08202520451028078,Merged
15,simple_avg,456,0.059252708379394205,Merged
15,simple_avg,789,0.06743311961087774,Merged
15,simple_avg,101,0.055936325447711696,Merged
15,median,42,0.04930355958434667,Merged
15,median,123,0.03360601370771612,Merged
15,median,456,0.04930355958434667,Merged
15,median,789,0.05129338934335618,Merged
15,median,101,0.055936325447711696,Merged
15,Avg Individual,42,0.5227946053504312,Individual
15,Best Individual,42,0.5993809418527526,Individual
15,Avg Individual,123,0.5400397965951803,Individual
15,Best Individual,123,0.6150784877293831,Individual
15,Avg Individual,456,0.46000442184390894,Individual
15,Best Individual,456,0.6820694229493699,Individual
15,Avg Individual,789,0.5013928808313067,Individual
15,Best Individual,789,0.6305549414105682,Individual
15,Avg Individual,101,0.54348883484413,Individual
15,Best Individual,101,0.6195003316382932,Individual
20,c2m3,42,0.22197656422728276,Merged
20,c2m3,123,0.10678753040017687,Merged
20,c2m3,456,0.07649789962414327,Merged
20,c2m3,789,0.06787530400176874,Merged
20,c2m3,101,0.06831748839265973,Merged
20,fedavg,42,0.055936325447711696,Merged
20,fedavg,123,0.08600486402829981,Merged
20,fedavg,456,0.04930355958434667,Merged
20,fedavg,789,0.04930355958434667,Merged
20,fedavg,101,0.055936325447711696,Merged
20,simple_avg,42,0.055936325447711696,Merged
20,simple_avg,123,0.08600486402829981,Merged
20,simple_avg,456,0.04930355958434667,Merged
20,simple_avg,789,0.04930355958434667,Merged
20,simple_avg,101,0.055936325447711696,Merged
20,median,42,0.021667035153659076,Merged
20,median,123,0.0289630776033606,Merged
20,median,456,0.04930355958434667,Merged
20,median,789,0.053504311297811184,Merged
20,median,101,0.055936325447711696,Merged
20,Avg Individual,42,0.5372540349325668,Individual
20,Best Individual,42,0.6250276365244307,Individual
20,Avg Individual,123,0.5468052177758125,Individual
20,Best Individual,123,0.6374087994693788,Individual
20,Avg Individual,456,0.46292283882378954,Individual
20,Best Individual,456,0.6652664160955118,Individual
20,Avg Individual,789,0.5127128012381162,Individual
20,Best Individual,789,0.6312182179969047,Individual
20,Avg Individual,101,0.5438868007959319,Individual
20,Best Individual,101,0.6060137077161176,Individual
25,c2m3,42,0.19345567101481317,Merged
25,c2m3,123,0.10280787088215786,Merged
25,c2m3,456,0.07406588547424275,Merged
25,c2m3,789,0.07141277912889675,Merged
25,c2m3,101,0.08136192792394428,Merged
25,fedavg,42,0.055936325447711696,Merged
25,fedavg,123,0.08821578598275481,Merged
25,fedavg,456,0.04797700641167367,Merged
25,fedavg,789,0.06964404156533274,Merged
25,fedavg,101,0.055936325447711696,Merged
25,simple_avg,42,0.055936325447711696,Merged
25,simple_avg,123,0.08821578598275481,Merged
25,simple_avg,456,0.04797700641167367,Merged
25,simple_avg,789,0.06964404156533274,Merged
25,simple_avg,101,0.055936325447711696,Merged
25,median,42,0.04510280787088216,Merged
25,median,123,0.029405261994251603,Merged
25,median,456,0.04930355958434667,Merged
25,median,789,0.0557152332522662,Merged
25,median,101,0.055936325447711696,Merged
25,Avg Individual,42,0.552774707052841,Individual
25,Best Individual,42,0.6336502321468053,Individual
25,Avg Individual,123,0.5535706389564449,Individual
25,Best Individual,123,0.6548750829095733,Individual
25,Avg Individual,456,0.4594295821357505,Individual
25,Best Individual,456,0.6515586999778907,Individual
25,Avg Individual,789,0.5201857174441742,Individual
25,Best Individual,789,0.6522219765642273,Individual
25,Avg Individual,101,0.5476895865575946,Individual
25,Best Individual,101,0.6155206721202742,Individual
