Epochs,Method,Seed,Accuracy,Type
5,c2m3,42,0.055936325447711696,Merged
5,c2m3,123,0.055936325447711696,Merged
5,c2m3,456,0.055936325447711696,Merged
5,c2m3,789,0.055936325447711696,Merged
5,c2m3,101,0.055936325447711696,Merged
5,fedavg,42,0.055936325447711696,Merged
5,fedavg,123,0.055936325447711696,Merged
5,fedavg,456,0.055936325447711696,Merged
5,fedavg,789,0.055936325447711696,Merged
5,fedavg,101,0.055936325447711696,Merged
5,simple_avg,42,0.055936325447711696,Merged
5,simple_avg,123,0.055936325447711696,Merged
5,simple_avg,456,0.055936325447711696,Merged
5,simple_avg,789,0.055936325447711696,Merged
5,simple_avg,101,0.055936325447711696,Merged
5,median,42,0.055936325447711696,Merged
5,median,123,0.055936325447711696,Merged
5,median,456,0.055936325447711696,Merged
5,median,789,0.055936325447711696,Merged
5,median,101,0.055936325447711696,Merged
5,Avg Individual,42,0.055936325447711696,Individual
5,Best Individual,42,0.055936325447711696,Individual
5,Avg Individual,123,0.055936325447711696,Individual
5,Best Individual,123,0.055936325447711696,Individual
5,Avg Individual,456,0.055936325447711696,Individual
5,Best Individual,456,0.055936325447711696,Individual
5,Avg Individual,789,0.055936325447711696,Individual
5,Best Individual,789,0.055936325447711696,Individual
5,Avg Individual,101,0.055936325447711696,Individual
5,Best Individual,101,0.055936325447711696,Individual
10,c2m3,42,0.055936325447711696,Merged
10,c2m3,123,0.055936325447711696,Merged
10,c2m3,456,0.055936325447711696,Merged
10,c2m3,789,0.055936325447711696,Merged
10,c2m3,101,0.055936325447711696,Merged
10,fedavg,42,0.055936325447711696,Merged
10,fedavg,123,0.055936325447711696,Merged
10,fedavg,456,0.055936325447711696,Merged
10,fedavg,789,0.055936325447711696,Merged
10,fedavg,101,0.055936325447711696,Merged
10,simple_avg,42,0.055936325447711696,Merged
10,simple_avg,123,0.055936325447711696,Merged
10,simple_avg,456,0.055936325447711696,Merged
10,simple_avg,789,0.055936325447711696,Merged
10,simple_avg,101,0.055936325447711696,Merged
10,median,42,0.055936325447711696,Merged
10,median,123,0.055936325447711696,Merged
10,median,456,0.055936325447711696,Merged
10,median,789,0.055936325447711696,Merged
10,median,101,0.055936325447711696,Merged
10,Avg Individual,42,0.055936325447711696,Individual
10,Best Individual,42,0.055936325447711696,Individual
10,Avg Individual,123,0.055936325447711696,Individual
10,Best Individual,123,0.055936325447711696,Individual
10,Avg Individual,456,0.055936325447711696,Individual
10,Best Individual,456,0.055936325447711696,Individual
10,Avg Individual,789,0.055936325447711696,Individual
10,Best Individual,789,0.055936325447711696,Individual
10,Avg Individual,101,0.055936325447711696,Individual
10,Best Individual,101,0.055936325447711696,Individual
15,c2m3,42,0.055936325447711696,Merged
15,c2m3,123,0.055936325447711696,Merged
15,c2m3,456,0.055936325447711696,Merged
15,c2m3,789,0.055936325447711696,Merged
15,c2m3,101,0.055936325447711696,Merged
15,fedavg,42,0.055936325447711696,Merged
15,fedavg,123,0.055936325447711696,Merged
15,fedavg,456,0.055936325447711696,Merged
15,fedavg,789,0.055936325447711696,Merged
15,fedavg,101,0.055936325447711696,Merged
15,simple_avg,42,0.055936325447711696,Merged
15,simple_avg,123,0.055936325447711696,Merged
15,simple_avg,456,0.055936325447711696,Merged
15,simple_avg,789,0.055936325447711696,Merged
15,simple_avg,101,0.055936325447711696,Merged
15,median,42,0.055936325447711696,Merged
15,median,123,0.055936325447711696,Merged
15,median,456,0.055936325447711696,Merged
15,median,789,0.055936325447711696,Merged
15,median,101,0.055936325447711696,Merged
15,Avg Individual,42,0.055936325447711696,Individual
15,Best Individual,42,0.055936325447711696,Individual
15,Avg Individual,123,0.055936325447711696,Individual
15,Best Individual,123,0.055936325447711696,Individual
15,Avg Individual,456,0.055936325447711696,Individual
15,Best Individual,456,0.055936325447711696,Individual
15,Avg Individual,789,0.055936325447711696,Individual
15,Best Individual,789,0.055936325447711696,Individual
15,Avg Individual,101,0.055936325447711696,Individual
15,Best Individual,101,0.055936325447711696,Individual
20,c2m3,42,0.055936325447711696,Merged
20,c2m3,123,0.055936325447711696,Merged
20,c2m3,456,0.055936325447711696,Merged
20,c2m3,789,0.055936325447711696,Merged
20,c2m3,101,0.055936325447711696,Merged
20,fedavg,42,0.055936325447711696,Merged
20,fedavg,123,0.055936325447711696,Merged
20,fedavg,456,0.055936325447711696,Merged
20,fedavg,789,0.055936325447711696,Merged
20,fedavg,101,0.055936325447711696,Merged
20,simple_avg,42,0.055936325447711696,Merged
20,simple_avg,123,0.055936325447711696,Merged
20,simple_avg,456,0.055936325447711696,Merged
20,simple_avg,789,0.055936325447711696,Merged
20,simple_avg,101,0.055936325447711696,Merged
20,median,42,0.055936325447711696,Merged
20,median,123,0.055936325447711696,Merged
20,median,456,0.055936325447711696,Merged
20,median,789,0.055936325447711696,Merged
20,median,101,0.055936325447711696,Merged
20,Avg Individual,42,0.055936325447711696,Individual
20,Best Individual,42,0.055936325447711696,Individual
20,Avg Individual,123,0.055936325447711696,Individual
20,Best Individual,123,0.055936325447711696,Individual
20,Avg Individual,456,0.055936325447711696,Individual
20,Best Individual,456,0.055936325447711696,Individual
20,Avg Individual,789,0.055936325447711696,Individual
20,Best Individual,789,0.055936325447711696,Individual
20,Avg Individual,101,0.055936325447711696,Individual
20,Best Individual,101,0.055936325447711696,Individual
25,c2m3,42,0.055936325447711696,Merged
25,c2m3,123,0.055936325447711696,Merged
25,c2m3,456,0.055936325447711696,Merged
25,c2m3,789,0.055936325447711696,Merged
25,c2m3,101,0.055936325447711696,Merged
25,fedavg,42,0.055936325447711696,Merged
25,fedavg,123,0.055936325447711696,Merged
25,fedavg,456,0.055936325447711696,Merged
25,fedavg,789,0.055936325447711696,Merged
25,fedavg,101,0.055936325447711696,Merged
25,simple_avg,42,0.055936325447711696,Merged
25,simple_avg,123,0.055936325447711696,Merged
25,simple_avg,456,0.055936325447711696,Merged
25,simple_avg,789,0.055936325447711696,Merged
25,simple_avg,101,0.055936325447711696,Merged
25,median,42,0.055936325447711696,Merged
25,median,123,0.055936325447711696,Merged
25,median,456,0.055936325447711696,Merged
25,median,789,0.055936325447711696,Merged
25,median,101,0.055936325447711696,Merged
25,Avg Individual,42,0.055936325447711696,Individual
25,Best Individual,42,0.055936325447711696,Individual
25,Avg Individual,123,0.055936325447711696,Individual
