Epochs,Method,Accuracy,Std,Median,Min,Max,CI_Lower,CI_Upper
5,c2m3,0.07229714791067875,0.013882759053564052,0.06323236789741322,0.062126906920185715,0.09838602697324784,0.05505942579813087,0.08953487002322663
5,fedavg,0.039840813619279235,0.009742517340823638,0.03426929029405262,0.0289630776033606,0.055936325447711696,0.02774388058530263,0.05193774665325584
5,simple_avg,0.039840813619279235,0.009742517340823638,0.03426929029405262,0.0289630776033606,0.055936325447711696,0.02774388058530263,0.05193774665325584
5,median,0.043908910015476456,0.010391427267297935,0.049966836170683177,0.0289630776033606,0.055936325447711696,0.031006248887719662,0.05681157114323325
5,Avg Individual,0.2146097722750387,0.01487613969798601,0.21370771611762102,0.1909352199867345,0.23121821799690473,0.1961386051797996,0.23308093937027777
5,Best Individual,0.25774928145036485,0.027817721275560765,0.27238558478885694,0.2056157417643157,0.2832191023656865,0.2232090184304341,0.2922895444702956
10,c2m3,0.06349767853194782,0.028814480250863306,0.06566438204731373,0.0289630776033606,0.10921954455007739,0.027719775777497423,0.09927558128639821
10,fedavg,0.028565111651558707,0.01405659597848349,0.024320141499005084,0.01680300685385806,0.055936325447711696,0.011111542487779912,0.0460186808153375
10,simple_avg,0.028565111651558707,0.01405659597848349,0.024320141499005084,0.01680300685385806,0.055936325447711696,0.011111542487779912,0.0460186808153375
10,median,0.029891664824231706,0.019716366816776795,0.01989829759009507,0.003979659518019014,0.055936325447711696,0.005410561972460561,0.05437276767600285
10,Avg Individual,0.28343135087331417,0.012718022555794257,0.28131770948485524,0.26650453239000665,0.30298474463851427,0.26763984013744097,0.2992228616091874
10,Best Individual,0.3395976122042892,0.020130319947097134,0.32544771169577713,0.3194782224187486,0.3678974132213133,0.3146025186536555,0.36459270575492286
15,c2m3,0.054609772275038694,0.003197821752246658,0.055936325447711696,0.04974574397523768,0.05858943179305771,0.05063915213260113,0.05858039241747626
15,fedavg,0.0273269953570639,0.014588466578506147,0.01989829759009507,0.015255361485739553,0.0557152332522662,0.009213021617533936,0.04544096909659386
15,simple_avg,0.0273269953570639,0.014588466578506147,0.01989829759009507,0.015255361485739553,0.0557152332522662,0.009213021617533936,0.04544096909659386
15,median,0.025558257793499888,0.015431284959848815,0.01989829759009507,0.003979659518019014,0.04974574397523768,0.0063977868128323595,0.04471872877416742
15,Avg Individual,0.31189033827105905,0.017777233606846833,0.3164713685606898,0.287862038470042,0.3337165598054389,0.28981698731377925,0.33396368922833886
15,Best Individual,0.3669246075613531,0.01832191437187532,0.3736458103028963,0.3373866902498342,0.3917753703294274,0.34417494610762334,0.38967426901508284
20,c2m3,0.04059252708379394,0.0152027855223788,0.03625912005306213,0.023656864912668583,0.06102144594295821,0.021715775628242742,0.05946927853934514
20,fedavg,0.019544550077382268,0.016673693974754846,0.01989829759009507,0.003979659518019014,0.04974574397523768,-0.001158575448137883,0.04024767560290242
20,simple_avg,0.019544550077382268,0.016673693974754846,0.01989829759009507,0.003979659518019014,0.04974574397523768,-0.001158575448137883,0.04024767560290242
20,median,0.022241874861817376,0.014938111814720982,0.01989829759009507,0.004200751713464515,0.04974574397523768,0.0036937592203360008,0.04078999050329875
20,Avg Individual,0.3216537696219324,0.021361623582488432,0.3275259783329648,0.29644041565332746,0.3500773822684059,0.2951298106763759,0.34817772856748885
20,Best Individual,0.38655759451691357,0.02108556627293588,0.38094185275259784,0.36303338492151227,0.424718107450807,0.3603764059940695,0.41273878303975764
25,c2m3,0.049347778023435776,0.01856089720387513,0.057705063011275703,0.018350652221976564,0.06853858058810525,0.026301380191023075,0.07239417585584848
25,fedavg,0.019544550077382268,0.016673693974754846,0.01989829759009507,0.003979659518019014,0.04974574397523768,-0.001158575448137883,0.04024767560290242
25,simple_avg,0.019544550077382268,0.016673693974754846,0.01989829759009507,0.003979659518019014,0.04974574397523768,-0.001158575448137883,0.04024767560290242
25,median,0.0286093300906478,0.018014116681564107,0.01989829759009507,0.004200751713464515,0.04974574397523768,0.006241849947707746,0.050976810233587855
25,Avg Individual,0.3255007738226841,0.02144340640207082,0.3400397965951802,0.29502542560247624,0.34702630997125805,0.2988752680943806,0.35212627955098763
25,Best Individual,0.38346230378067653,0.027661311016059627,0.37629891664824233,0.35595843466725624,0.427371213796153,0.34911624974891803,0.417808357812435
