Epochs,Method,Seed,Accuracy,Type
5,c2m3,42,0.07495025425602476,Merged
5,c2m3,123,0.06279018350652223,Merged
5,c2m3,456,0.062126906920185715,Merged
5,c2m3,789,0.06323236789741322,Merged
5,c2m3,101,0.09838602697324784,Merged
5,fedavg,42,0.03426929029405262,Merged
5,fedavg,123,0.04576608445721866,Merged
5,fedavg,456,0.03426929029405262,Merged
5,fedavg,789,0.055936325447711696,Merged
5,fedavg,101,0.0289630776033606,Merged
5,simple_avg,42,0.03426929029405262,Merged
5,simple_avg,123,0.04576608445721866,Merged
5,simple_avg,456,0.03426929029405262,Merged
5,simple_avg,789,0.055936325447711696,Merged
5,simple_avg,101,0.0289630776033606,Merged
5,median,42,0.03426929029405262,Merged
5,median,123,0.055936325447711696,Merged
5,median,456,0.049966836170683177,Merged
5,median,789,0.050409020561574175,Merged
5,median,101,0.0289630776033606,Merged
5,Avg Individual,42,0.1909352199867345,Individual
5,Best Individual,42,0.2056157417643157,Individual
5,Avg Individual,123,0.21370771611762102,Individual
5,Best Individual,123,0.2533716559805439,Individual
5,Avg Individual,456,0.2294936988724298,Individual
5,Best Individual,456,0.2832191023656865,Individual
5,Avg Individual,789,0.20769400840150345,Individual
5,Best Individual,789,0.274154322352421,Individual
5,Avg Individual,101,0.23121821799690473,Individual
5,Best Individual,101,0.27238558478885694,Individual
10,c2m3,42,0.03714348883484413,Merged
10,c2m3,123,0.0289630776033606,Merged
10,c2m3,456,0.06566438204731373,Merged
10,c2m3,789,0.10921954455007739,Merged
10,c2m3,101,0.07649789962414327,Merged
10,fedavg,42,0.024320141499005084,Merged
10,fedavg,123,0.01989829759009507,Merged
10,fedavg,456,0.01680300685385806,Merged
10,fedavg,789,0.025867786867123592,Merged
10,fedavg,101,0.055936325447711696,Merged
10,simple_avg,42,0.024320141499005084,Merged
10,simple_avg,123,0.01989829759009507,Merged
10,simple_avg,456,0.01680300685385806,Merged
10,simple_avg,789,0.025867786867123592,Merged
10,simple_avg,101,0.055936325447711696,Merged
10,median,42,0.01989829759009507,Merged
10,median,123,0.055936325447711696,Merged
10,median,456,0.003979659518019014,Merged
10,median,789,0.04974574397523768,Merged
10,median,101,0.01989829759009507,Merged
10,Avg Individual,42,0.26650453239000665,Individual
10,Best Individual,42,0.32544771169577713,Individual
10,Avg Individual,123,0.27495025425602476,Individual
10,Best Individual,123,0.3194782224187486,Individual
10,Avg Individual,456,0.29139951359717003,Individual
10,Best Individual,456,0.3599380941852753,Individual
10,Avg Individual,789,0.28131770948485524,Individual
10,Best Individual,789,0.3678974132213133,Individual
10,Avg Individual,101,0.30298474463851427,Individual
10,Best Individual,101,0.32522661950033166,Individual
15,c2m3,42,0.05217775812513818,Merged
15,c2m3,123,0.04974574397523768,Merged
15,c2m3,456,0.05858943179305771,Merged
15,c2m3,789,0.0565996020340482,Merged
15,c2m3,101,0.055936325447711696,Merged
15,fedavg,42,0.01989829759009507,Merged
15,fedavg,123,0.01989829759009507,Merged
15,fedavg,456,0.015255361485739553,Merged
15,fedavg,789,0.025867786867123592,Merged
15,fedavg,101,0.0557152332522662,Merged
15,simple_avg,42,0.01989829759009507,Merged
15,simple_avg,123,0.01989829759009507,Merged
15,simple_avg,456,0.015255361485739553,Merged
15,simple_avg,789,0.025867786867123592,Merged
15,simple_avg,101,0.0557152332522662,Merged
15,median,42,0.03426929029405262,Merged
15,median,123,0.01989829759009507,Merged
15,median,456,0.003979659518019014,Merged
15,median,789,0.04974574397523768,Merged
15,median,101,0.01989829759009507,Merged
15,Avg Individual,42,0.287862038470042,Individual
15,Best Individual,42,0.35750608003537476,Individual
15,Avg Individual,123,0.2948485518461198,Individual
15,Best Individual,123,0.3373866902498342,Individual
15,Avg Individual,456,0.3164713685606898,Individual
15,Best Individual,456,0.3743090868892328,Individual
15,Avg Individual,789,0.3265531726730047,Individual
15,Best Individual,789,0.3917753703294274,Individual
15,Avg Individual,101,0.3337165598054389,Individual
15,Best Individual,101,0.3736458103028963,Individual
20,c2m3,42,0.023656864912668583,Merged
20,c2m3,123,0.0557152332522662,Merged
20,c2m3,456,0.026309971258014594,Merged
20,c2m3,789,0.06102144594295821,Merged
20,c2m3,101,0.03625912005306213,Merged
20,fedavg,42,0.01989829759009507,Merged
20,fedavg,123,0.01989829759009507,Merged
20,fedavg,456,0.004200751713464515,Merged
20,fedavg,789,0.04974574397523768,Merged
20,fedavg,101,0.003979659518019014,Merged
20,simple_avg,42,0.01989829759009507,Merged
20,simple_avg,123,0.01989829759009507,Merged
20,simple_avg,456,0.004200751713464515,Merged
20,simple_avg,789,0.04974574397523768,Merged
20,simple_avg,101,0.003979659518019014,Merged
20,median,42,0.01746628344019456,Merged
20,median,123,0.01989829759009507,Merged
20,median,456,0.004200751713464515,Merged
20,median,789,0.04974574397523768,Merged
20,median,101,0.01989829759009507,Merged
20,Avg Individual,42,0.29759009506964407,Individual
20,Best Individual,42,0.3736458103028963,Individual
20,Avg Individual,123,0.29644041565332746,Individual
20,Best Individual,123,0.36303338492151227,Individual
20,Avg Individual,456,0.3366349767853195,Individual
20,Best Individual,456,0.424718107450807,Individual
20,Avg Individual,789,0.3275259783329648,Individual
20,Best Individual,789,0.3904488171567544,Individual
20,Avg Individual,101,0.3500773822684059,Individual
20,Best Individual,101,0.38094185275259784,Individual
25,c2m3,42,0.06853858058810525,Merged
25,c2m3,123,0.038470042007517136,Merged
25,c2m3,456,0.057705063011275703,Merged
25,c2m3,789,0.06367455228830422,Merged
25,c2m3,101,0.018350652221976564,Merged
25,fedavg,42,0.01989829759009507,Merged
25,fedavg,123,0.01989829759009507,Merged
25,fedavg,456,0.004200751713464515,Merged
25,fedavg,789,0.04974574397523768,Merged
25,fedavg,101,0.003979659518019014,Merged
25,simple_avg,42,0.01989829759009507,Merged
25,simple_avg,123,0.01989829759009507,Merged
25,simple_avg,456,0.004200751713464515,Merged
25,simple_avg,789,0.04974574397523768,Merged
25,simple_avg,101,0.003979659518019014,Merged
25,median,42,0.04930355958434667,Merged
25,median,123,0.01989829759009507,Merged
25,median,456,0.004200751713464515,Merged
25,median,789,0.04974574397523768,Merged
25,median,101,0.01989829759009507,Merged
25,Avg Individual,42,0.3042670793720982,Individual
25,Best Individual,42,0.35595843466725624,Individual
25,Avg Individual,123,0.29502542560247624,Individual
25,Best Individual,123,0.35595843466725624,Individual
25,Avg Individual,456,0.3411452575724077,Individual
25,Best Individual,456,0.427371213796153,Individual
25,Avg Individual,789,0.34702630997125805,Individual
25,Best Individual,789,0.40172451912447493,Individual
25,Avg Individual,101,0.3400397965951802,Individual
25,Best Individual,101,0.37629891664824233,Individual
