Epochs,Method,Seed,Accuracy,Type
5,c2m3,42,0.08799469378730931,Merged
5,c2m3,123,0.16405040902056156,Merged
5,c2m3,456,0.09175326110988283,Merged
5,c2m3,789,0.10789299137740438,Merged
5,c2m3,101,0.055936325447711696,Merged
5,fedavg,42,0.055936325447711696,Merged
5,fedavg,123,0.07163387132434225,Merged
5,fedavg,456,0.08910015476453681,Merged
5,fedavg,789,0.06367455228830422,Merged
5,fedavg,101,0.055936325447711696,Merged
5,simple_avg,42,0.055936325447711696,Merged
5,simple_avg,123,0.07163387132434225,Merged
5,simple_avg,456,0.08910015476453681,Merged
5,simple_avg,789,0.06367455228830422,Merged
5,simple_avg,101,0.055936325447711696,Merged
5,median,42,0.055936325447711696,Merged
5,median,123,0.0289630776033606,Merged
5,median,456,0.055936325447711696,Merged
5,median,789,0.055936325447711696,Merged
5,median,101,0.055936325447711696,Merged
5,Avg Individual,42,0.32770285208932126,Individual
5,Best Individual,42,0.4249391996462525,Individual
5,Avg Individual,123,0.419411894760115,Individual
5,Best Individual,123,0.4749060358169357,Individual
5,Avg Individual,456,0.3971700198982976,Individual
5,Best Individual,456,0.5516250276365244,Individual
5,Avg Individual,789,0.26858279902719434,Individual
5,Best Individual,789,0.3272164492593411,Individual
5,Avg Individual,101,0.4011054609772275,Individual
5,Best Individual,101,0.5326110988282113,Individual
10,c2m3,42,0.1706831748839266,Merged
10,c2m3,123,0.13022330311739996,Merged
10,c2m3,456,0.08932124695998231,Merged
10,c2m3,789,0.12314835286314393,Merged
10,c2m3,101,0.09661728940968384,Merged
10,fedavg,42,0.056378509838602694,Merged
10,fedavg,123,0.05239885032058368,Merged
10,fedavg,456,0.0851204952465178,Merged
10,fedavg,789,0.0877736015918638,Merged
10,fedavg,101,0.01680300685385806,Merged
10,simple_avg,42,0.056378509838602694,Merged
10,simple_avg,123,0.05239885032058368,Merged
10,simple_avg,456,0.0851204952465178,Merged
10,simple_avg,789,0.0877736015918638,Merged
10,simple_avg,101,0.01680300685385806,Merged
10,median,42,0.060579261552067214,Merged
10,median,123,0.04974574397523768,Merged
10,median,456,0.060358169356621715,Merged
10,median,789,0.0289630776033606,Merged
10,median,101,0.055936325447711696,Merged
10,Avg Individual,42,0.5527747070528409,Individual
10,Best Individual,42,0.5980543886800795,Individual
10,Avg Individual,123,0.6288304222860933,Individual
10,Best Individual,123,0.6502321468052178,Individual
10,Avg Individual,456,0.599557815609109,Individual
10,Best Individual,456,0.6648242317046208,Individual
10,Avg Individual,789,0.5846562016360822,Individual
10,Best Individual,789,0.6281229272606677,Individual
10,Avg Individual,101,0.5644925934114526,Individual
10,Best Individual,101,0.6626133097501659,Individual
15,c2m3,42,0.07074950254256025,Merged
15,c2m3,123,0.1485739553393765,Merged
15,c2m3,456,0.09086889232810082,Merged
15,c2m3,789,0.10590316161839487,Merged
15,c2m3,101,0.050187928366128676,Merged
15,fedavg,42,0.057705063011275703,Merged
15,fedavg,123,0.06455892107008622,Merged
15,fedavg,456,0.08158302011938978,Merged
15,fedavg,789,0.04952465177979217,Merged
15,fedavg,101,0.02608887906256909,Merged
15,simple_avg,42,0.057705063011275703,Merged
15,simple_avg,123,0.06455892107008622,Merged
15,simple_avg,456,0.08158302011938978,Merged
15,simple_avg,789,0.04952465177979217,Merged
15,simple_avg,101,0.02608887906256909,Merged
15,median,42,0.04930355958434667,Merged
15,median,123,0.05527304886137519,Merged
15,median,456,0.06500110546097723,Merged
15,median,789,0.02034048198098607,Merged
15,median,101,0.01702409904930356,Merged
15,Avg Individual,42,0.6066769843024542,Individual
15,Best Individual,42,0.6303338492151227,Individual
15,Avg Individual,123,0.6584567764757904,Individual
15,Best Individual,123,0.6703515365907583,Individual
15,Avg Individual,456,0.6400619058147248,Individual
15,Best Individual,456,0.6716780897634314,Individual
15,Avg Individual,789,0.6360380278576167,Individual
15,Best Individual,789,0.6612867565774928,Individual
15,Avg Individual,101,0.6222860933009065,Individual
15,Best Individual,101,0.6860490824673889,Individual
20,c2m3,42,0.09462745965067433,Merged
20,c2m3,123,0.09462745965067433,Merged
20,c2m3,456,0.09750165819146585,Merged
20,c2m3,789,0.059252708379394205,Merged
20,c2m3,101,0.021667035153659076,Merged
20,fedavg,42,0.08932124695998231,Merged
20,fedavg,123,0.0565996020340482,Merged
20,fedavg,456,0.08047755914216229,Merged
20,fedavg,789,0.07495025425602476,Merged
20,fedavg,101,0.04045987176652664,Merged
20,simple_avg,42,0.08932124695998231,Merged
20,simple_avg,123,0.0565996020340482,Merged
20,simple_avg,456,0.08047755914216229,Merged
20,simple_avg,789,0.07495025425602476,Merged
20,simple_avg,101,0.04045987176652664,Merged
20,median,42,0.04930355958434667,Merged
20,median,123,0.05969489277028521,Merged
20,median,456,0.057705063011275703,Merged
20,median,789,0.024320141499005084,Merged
20,median,101,0.01680300685385806,Merged
20,Avg Individual,42,0.6281671456997568,Individual
20,Best Individual,42,0.6590758346230378,Individual
20,Avg Individual,123,0.6617731594074729,Individual
20,Best Individual,123,0.6654875082909574,Individual
