Epochs,Method,Accuracy,Std,Median,Min,Max,CI_Lower,CI_Upper
5,c2m3,0.10152553614857393,0.035515803244511326,0.09175326110988283,0.055936325447711696,0.16405040902056156,0.05742684189257569,0.14562423040457217
5,fedavg,0.06725624585452133,0.01237279019508833,0.06367455228830422,0.055936325447711696,0.08910015476453681,0.051893397711951596,0.08261909399709107
5,simple_avg,0.06725624585452133,0.01237279019508833,0.06367455228830422,0.055936325447711696,0.08910015476453681,0.051893397711951596,0.08261909399709107
5,median,0.05054167587884149,0.010789299137740438,0.055936325447711696,0.0289630776033606,0.055936325447711696,0.03714499157365825,0.06393836018402473
5,Avg Individual,0.3627946053504311,0.05650168819056736,0.3971700198982976,0.26858279902719434,0.419411894760115,0.29263849328646874,0.4329507174143935
5,Best Individual,0.4622595622374531,0.0809010633149253,0.4749060358169357,0.3272164492593411,0.5516250276365244,0.36180762450290693,0.5627114999719993
10,c2m3,0.12199867344682733,0.028813801670732064,0.12314835286314393,0.08932124695998231,0.1706831748839266,0.08622161326089578,0.15777573363275887
10,fedavg,0.0596948927702852,0.025841128686694796,0.056378509838602694,0.01680300685385806,0.0877736015918638,0.0276088936070657,0.09178089193350471
10,simple_avg,0.0596948927702852,0.025841128686694796,0.056378509838602694,0.01680300685385806,0.0877736015918638,0.0276088936070657,0.09178089193350471
10,median,0.05111651558699979,0.011754455512672147,0.055936325447711696,0.0289630776033606,0.060579261552067214,0.03652143135842699,0.06571159981557259
10,Avg Individual,0.5860623479991156,0.026782585478490342,0.5846562016360822,0.5527747070528409,0.6288304222860933,0.5528073758316592,0.619317320166572
10,Best Individual,0.6407694008401503,0.025019353962156123,0.6502321468052178,0.5980543886800795,0.6648242317046208,0.6097037697670243,0.6718350319132763
15,c2m3,0.09325668803891221,0.0334279116388186,0.09086889232810082,0.050187928366128676,0.1485739553393765,0.051750453621854486,0.13476292245596994
15,fedavg,0.055892107008622585,0.018260341584998424,0.057705063011275703,0.02608887906256909,0.08158302011938978,0.03321889826762694,0.07856531574961823
15,simple_avg,0.055892107008622585,0.018260341584998424,0.057705063011275703,0.02608887906256909,0.08158302011938978,0.03321889826762694,0.07856531574961823
15,median,0.04138845898739774,0.019233445339668438,0.04930355958434667,0.01702409904930356,0.06500110546097723,0.017506982347711433,0.06526993562708405
15,Avg Individual,0.6327039575502985,0.01740343840767134,0.6360380278576167,0.6066769843024542,0.6584567764757904,0.6110947346345363,0.6543131804660607
15,Best Individual,0.6639398629228388,0.018580691232203364,0.6703515365907583,0.6303338492151227,0.6860490824673889,0.6408688875580715,0.6870108382876061
20,c2m3,0.07353526420517356,0.029524410388644406,0.09462745965067433,0.021667035153659076,0.09750165819146585,0.03687586675740053,0.11019466165294658
20,fedavg,0.06836170683174884,0.01758615743154637,0.07495025425602476,0.04045987176652664,0.08932124695998231,0.0465256082822541,0.09019780538124358
20,simple_avg,0.06836170683174884,0.01758615743154637,0.07495025425602476,0.04045987176652664,0.08932124695998231,0.0465256082822541,0.09019780538124358
20,median,0.04156533274375414,0.01766137819676482,0.04930355958434667,0.01680300685385806,0.05969489277028521,0.0196358352781703,0.06349483020933798
20,Avg Individual,0.6481008180411232,0.01188896921304753,0.6523104134424055,0.6281671456997568,0.6617731594074729,0.6333387129935291,0.6628629230887173
20,Best Individual,0.6740216670351536,0.014050474252175153,0.6716780897634314,0.6590758346230378,0.700198982975901,0.6565756989985387,0.6914676350717686
25,c2m3,0.06725624585452135,0.023603453210649702,0.08025646694671679,0.020782666371877073,0.08246738890117179,0.03794868776957051,0.09656380393947218
25,fedavg,0.061463630333849203,0.019847627528695778,0.0581472474021667,0.04045987176652664,0.09285872208711032,0.036819545781709664,0.08610771488598874
25,simple_avg,0.061463630333849203,0.019847627528695778,0.0581472474021667,0.04045987176652664,0.09285872208711032,0.036819545781709664,0.08610771488598874
25,median,0.03802785761662613,0.016229432201597012,0.047534822020782665,0.01680300685385806,0.05394649568870219,0.01787635594061423,0.05817935929263803
25,Avg Individual,0.6456334291399515,0.021188671353503934,0.645456555383595,0.6108335175768296,0.6747733804996684,0.6193242187505341,0.6719426395293688
25,Best Individual,0.6734026088879064,0.011926197497055795,0.6738890117178864,0.6553172673004642,0.6922396639398629,0.6585942788203443,0.6882109389554685
