Epochs,Method,Seed,Accuracy,Type
21,c2m3,42,0.10523988503205838,Merged
21,c2m3,123,0.06787530400176874,Merged
21,c2m3,456,0.07959319036038028,Merged
21,c2m3,789,0.01680300685385806,Merged
21,c2m3,101,0.12845456555383594,Merged
21,fedavg,42,0.06699093521998674,Merged
21,fedavg,123,0.044218439089100156,Merged
21,fedavg,456,0.04952465177979217,Merged
21,fedavg,789,0.029847446385142605,Merged
21,fedavg,101,0.05129338934335618,Merged
21,simple_avg,42,0.06699093521998674,Merged
21,simple_avg,123,0.044218439089100156,Merged
21,simple_avg,456,0.04952465177979217,Merged
21,simple_avg,789,0.029847446385142605,Merged
21,simple_avg,101,0.05129338934335618,Merged
21,Avg Individual,42,0.6355958434667256,Individual
21,Best Individual,42,0.6692460756135309,Individual
21,Avg Individual,123,0.6592084899403051,Individual
21,Best Individual,123,0.6862701746628344,Individual
21,Avg Individual,456,0.6567101481317709,Individual
21,Best Individual,456,0.6847225292947159,Individual
21,Avg Individual,789,0.6270616847225293,Individual
21,Best Individual,789,0.6546539907141278,Individual
21,Avg Individual,101,0.6483970815830201,Individual
21,Best Individual,101,0.6774264868450144,Individual
23,c2m3,42,0.21534379836391776,Merged
23,c2m3,123,0.07229714791067875,Merged
23,c2m3,456,0.09307981428255582,Merged
23,c2m3,789,0.056378509838602694,Merged
23,c2m3,101,0.16714569975679858,Merged
23,fedavg,42,0.05438868007959319,Merged
23,fedavg,123,0.029405261994251603,Merged
23,fedavg,456,0.04952465177979217,Merged
23,fedavg,789,0.04930355958434667,Merged
23,fedavg,101,0.032500552730488616,Merged
23,simple_avg,42,0.05438868007959319,Merged
23,simple_avg,123,0.029405261994251603,Merged
23,simple_avg,456,0.04952465177979217,Merged
23,simple_avg,789,0.04930355958434667,Merged
23,simple_avg,101,0.032500552730488616,Merged
23,Avg Individual,42,0.622308202520451,Individual
23,Best Individual,42,0.6559805438868008,Individual
23,Avg Individual,123,0.6494141056820694,Individual
23,Best Individual,123,0.6699093521998674,Individual
23,Avg Individual,456,0.604023877957108,Individual
23,Best Individual,456,0.694450585894318,Individual
23,Avg Individual,789,0.632876409462746,Individual
23,Best Individual,789,0.6668140614636303,Individual
23,Avg Individual,101,0.6452354631881494,Individual
23,Best Individual,101,0.6743311961087773,Individual
25,c2m3,42,0.12270616847225294,Merged
25,c2m3,123,0.057483970815830204,Merged
25,c2m3,456,0.09131107671899182,Merged
25,c2m3,789,0.050630112757019674,Merged
25,c2m3,101,0.019013928808313065,Merged
25,fedavg,42,0.08047755914216229,Merged
25,fedavg,123,0.06455892107008622,Merged
25,fedavg,456,0.06654875082909573,Merged
25,fedavg,789,0.06411673667919522,Merged
25,fedavg,101,0.049966836170683177,Merged
25,simple_avg,42,0.08047755914216229,Merged
25,simple_avg,123,0.06455892107008622,Merged
25,simple_avg,456,0.06654875082909573,Merged
25,simple_avg,789,0.06411673667919522,Merged
25,simple_avg,101,0.049966836170683177,Merged
25,Avg Individual,42,0.5810523988503206,Individual
25,Best Individual,42,0.6652664160955118,Individual
25,Avg Individual,123,0.6513818262215344,Individual
25,Best Individual,123,0.6718991819588769,Individual
25,Avg Individual,456,0.665752818925492,Individual
25,Best Individual,456,0.696219323457882,Individual
25,Avg Individual,789,0.6447048419190802,Individual
25,Best Individual,789,0.6601812956002653,Individual
25,Avg Individual,101,0.5416537696219322,Individual
25,Best Individual,101,0.6847225292947159,Individual
27,c2m3,42,0.10634534600928587,Merged
27,c2m3,123,0.06389564448374972,Merged
27,c2m3,456,0.14348883484413,Merged
27,c2m3,789,0.023877957108114082,Merged
27,c2m3,101,0.06124253813840371,Merged
27,fedavg,42,0.060358169356621715,Merged
27,fedavg,123,0.05416758788414769,Merged
27,fedavg,456,0.049966836170683177,Merged
27,fedavg,789,0.025204510280787087,Merged
27,fedavg,101,0.08003537475127127,Merged
27,simple_avg,42,0.060358169356621715,Merged
27,simple_avg,123,0.05416758788414769,Merged
27,simple_avg,456,0.049966836170683177,Merged
27,simple_avg,789,0.025204510280787087,Merged
27,simple_avg,101,0.08003537475127127,Merged
27,Avg Individual,42,0.5759893875746187,Individual
27,Best Individual,42,0.6641609551182843,Individual
27,Avg Individual,123,0.656953349546761,Individual
27,Best Individual,123,0.6723413663497678,Individual
27,Avg Individual,456,0.6031616183948707,Individual
27,Best Individual,456,0.6858279902719434,Individual
27,Avg Individual,789,0.6183506522219765,Individual
27,Best Individual,789,0.6734468273269953,Individual
27,Avg Individual,101,0.6398629228388238,Individual
27,Best Individual,101,0.6690249834180854,Individual
29,c2m3,42,0.15918638072076055,Merged
29,c2m3,123,0.08202520451028078,Merged
29,c2m3,456,0.09949148795047535,Merged
29,c2m3,789,0.061905814724740216,Merged
29,c2m3,101,0.061905814724740216,Merged
29,fedavg,42,0.10435551625027636,Merged
29,fedavg,123,0.0570417864249392,Merged
29,fedavg,456,0.07495025425602476,Merged
29,fedavg,789,0.04930355958434667,Merged
29,fedavg,101,0.053504311297811184,Merged
29,simple_avg,42,0.10435551625027636,Merged
29,simple_avg,123,0.0570417864249392,Merged
29,simple_avg,456,0.07495025425602476,Merged
29,simple_avg,789,0.04930355958434667,Merged
29,simple_avg,101,0.053504311297811184,Merged
29,Avg Individual,42,0.6370108335175766,Individual
29,Best Individual,42,0.6562016360822462,Individual
29,Avg Individual,123,0.6681406146363034,Individual
29,Best Individual,123,0.6922396639398629,Individual
29,Avg Individual,456,0.6683395976122044,Individual
29,Best Individual,456,0.691797479548972,Individual
29,Avg Individual,789,0.6310855626796373,Individual
29,Best Individual,789,0.6515586999778907,Individual
29,Avg Individual,101,0.6626133097501659,Individual
29,Best Individual,101,0.6875967278355074,Individual
