Epochs,Method,Seed,Accuracy,Type
5,c2m3,42,0.049966836170683177,Merged
5,c2m3,123,0.016139730267521555,Merged
5,c2m3,456,0.006853858058810524,Merged
5,c2m3,789,0.050409020561574175,Merged
5,c2m3,101,0.05217775812513818,Merged
5,fedavg,42,0.049966836170683177,Merged
5,fedavg,123,0.03471147468494362,Merged
5,fedavg,456,0.048861375193455674,Merged
5,fedavg,789,0.050409020561574175,Merged
5,fedavg,101,0.05217775812513818,Merged
5,simple_avg,42,0.049966836170683177,Merged
5,simple_avg,123,0.03471147468494362,Merged
5,simple_avg,456,0.048861375193455674,Merged
5,simple_avg,789,0.050409020561574175,Merged
5,simple_avg,101,0.05217775812513818,Merged
5,median,42,0.012823347335839045,Merged
5,median,123,0.03471147468494362,Merged
5,median,456,0.048861375193455674,Merged
5,median,789,0.050409020561574175,Merged
5,median,101,0.05217775812513818,Merged
5,Avg Individual,42,0.033119610877736017,Individual
5,Best Individual,42,0.049966836170683177,Individual
5,Avg Individual,123,0.027636524430687592,Individual
5,Best Individual,123,0.055936325447711696,Individual
5,Avg Individual,456,0.028432456334291402,Individual
5,Best Individual,456,0.05217775812513818,Individual
5,Avg Individual,789,0.03665708600486403,Individual
5,Best Individual,789,0.050409020561574175,Individual
5,Avg Individual,101,0.03276586336502322,Individual
5,Best Individual,101,0.05217775812513818,Individual
10,c2m3,42,0.04576608445721866,Merged
10,c2m3,123,0.016139730267521555,Merged
10,c2m3,456,0.014370992703957551,Merged
10,c2m3,789,0.050409020561574175,Merged
10,c2m3,101,0.04974574397523768,Merged
10,fedavg,42,0.04576608445721866,Merged
10,fedavg,123,0.016139730267521555,Merged
10,fedavg,456,0.014370992703957551,Merged
10,fedavg,789,0.050409020561574175,Merged
10,fedavg,101,0.005306212690692019,Merged
10,simple_avg,42,0.04576608445721866,Merged
10,simple_avg,123,0.016139730267521555,Merged
10,simple_avg,456,0.014370992703957551,Merged
10,simple_avg,789,0.050409020561574175,Merged
10,simple_avg,101,0.005306212690692019,Merged
10,median,42,0.04576608445721866,Merged
10,median,123,0.016139730267521555,Merged
10,median,456,0.048861375193455674,Merged
10,median,789,0.050409020561574175,Merged
10,median,101,0.04930355958434667,Merged
10,Avg Individual,42,0.033119610877736017,Individual
10,Best Individual,42,0.049966836170683177,Individual
10,Avg Individual,123,0.027636524430687592,Individual
10,Best Individual,123,0.055936325447711696,Individual
10,Avg Individual,456,0.028432456334291402,Individual
10,Best Individual,456,0.05217775812513818,Individual
10,Avg Individual,789,0.03665708600486403,Individual
10,Best Individual,789,0.050409020561574175,Individual
10,Avg Individual,101,0.03276586336502322,Individual
10,Best Individual,101,0.05217775812513818,Individual
15,c2m3,42,0.012823347335839045,Merged
15,c2m3,123,0.01989829759009507,Merged
15,c2m3,456,0.01989829759009507,Merged
15,c2m3,789,0.01414990050851205,Merged
15,c2m3,101,0.007296042449701525,Merged
15,fedavg,42,0.012823347335839045,Merged
15,fedavg,123,0.01149679416316604,Merged
15,fedavg,456,0.01989829759009507,Merged
15,fedavg,789,0.01414990050851205,Merged
15,fedavg,101,0.007296042449701525,Merged
15,simple_avg,42,0.012823347335839045,Merged
15,simple_avg,123,0.01149679416316604,Merged
15,simple_avg,456,0.01989829759009507,Merged
15,simple_avg,789,0.01414990050851205,Merged
15,simple_avg,101,0.007296042449701525,Merged
15,median,42,0.012823347335839045,Merged
15,median,123,0.016139730267521555,Merged
15,median,456,0.048861375193455674,Merged
15,median,789,0.050409020561574175,Merged
15,median,101,0.05217775812513818,Merged
15,Avg Individual,42,0.033119610877736017,Individual
15,Best Individual,42,0.049966836170683177,Individual
15,Avg Individual,123,0.027636524430687592,Individual
15,Best Individual,123,0.055936325447711696,Individual
15,Avg Individual,456,0.028432456334291402,Individual
15,Best Individual,456,0.05217775812513818,Individual
15,Avg Individual,789,0.03665708600486403,Individual
15,Best Individual,789,0.050409020561574175,Individual
15,Avg Individual,101,0.03276586336502322,Individual
15,Best Individual,101,0.05217775812513818,Individual
20,c2m3,42,0.04974574397523768,Merged
20,c2m3,123,0.03471147468494362,Merged
20,c2m3,456,0.006853858058810524,Merged
20,c2m3,789,0.03471147468494362,Merged
20,c2m3,101,0.04974574397523768,Merged
20,fedavg,42,0.04576608445721866,Merged
20,fedavg,123,0.03471147468494362,Merged
20,fedavg,456,0.05217775812513818,Merged
20,fedavg,789,0.03471147468494362,Merged
20,fedavg,101,0.05217775812513818,Merged
20,simple_avg,42,0.04576608445721866,Merged
20,simple_avg,123,0.03471147468494362,Merged
20,simple_avg,456,0.05217775812513818,Merged
20,simple_avg,789,0.03471147468494362,Merged
20,simple_avg,101,0.05217775812513818,Merged
20,median,42,0.007296042449701525,Merged
20,median,123,0.016139730267521555,Merged
20,median,456,0.048861375193455674,Merged
20,median,789,0.050409020561574175,Merged
20,median,101,0.05217775812513818,Merged
20,Avg Individual,42,0.033119610877736017,Individual
20,Best Individual,42,0.049966836170683177,Individual
20,Avg Individual,123,0.027636524430687592,Individual
20,Best Individual,123,0.055936325447711696,Individual
20,Avg Individual,456,0.028432456334291402,Individual
20,Best Individual,456,0.05217775812513818,Individual
20,Avg Individual,789,0.03665708600486403,Individual
20,Best Individual,789,0.050409020561574175,Individual
20,Avg Individual,101,0.03276586336502322,Individual
20,Best Individual,101,0.05217775812513818,Individual
25,c2m3,42,0.04576608445721866,Merged
25,c2m3,123,0.055936325447711696,Merged
25,c2m3,456,0.05217775812513818,Merged
25,c2m3,789,0.01414990050851205,Merged
25,c2m3,101,0.005306212690692019,Merged
25,fedavg,42,0.04576608445721866,Merged
25,fedavg,123,0.055936325447711696,Merged
25,fedavg,456,0.05217775812513818,Merged
25,fedavg,789,0.01414990050851205,Merged
25,fedavg,101,0.007296042449701525,Merged
25,simple_avg,42,0.04576608445721866,Merged
25,simple_avg,123,0.055936325447711696,Merged
25,simple_avg,456,0.05217775812513818,Merged
25,simple_avg,789,0.01414990050851205,Merged
25,simple_avg,101,0.007296042449701525,Merged
25,median,42,0.007296042449701525,Merged
25,median,123,0.016139730267521555,Merged
25,median,456,0.014370992703957551,Merged
25,median,789,0.01414990050851205,Merged
25,median,101,0.05217775812513818,Merged
25,Avg Individual,42,0.033119610877736017,Individual
25,Best Individual,42,0.049966836170683177,Individual
25,Avg Individual,123,0.027636524430687592,Individual
25,Best Individual,123,0.055936325447711696,Individual
25,Avg Individual,456,0.028432456334291402,Individual
25,Best Individual,456,0.05217775812513818,Individual
25,Avg Individual,789,0.03665708600486403,Individual
25,Best Individual,789,0.050409020561574175,Individual
25,Avg Individual,101,0.03276586336502322,Individual
25,Best Individual,101,0.05217775812513818,Individual
