Epochs,Method,Seed,Accuracy,Type
5,c2m3,42,0.055936325447711696,Merged
5,c2m3,123,0.07296042449701526,Merged
5,c2m3,456,0.055936325447711696,Merged
5,c2m3,789,0.0570417864249392,Merged
5,c2m3,101,0.10148131770948486,Merged
5,fedavg,42,0.055936325447711696,Merged
5,fedavg,123,0.03426929029405262,Merged
5,fedavg,456,0.08290957329206279,Merged
5,fedavg,789,0.055936325447711696,Merged
5,fedavg,101,0.03426929029405262,Merged
5,simple_avg,42,0.055936325447711696,Merged
5,simple_avg,123,0.03426929029405262,Merged
5,simple_avg,456,0.08290957329206279,Merged
5,simple_avg,789,0.055936325447711696,Merged
5,simple_avg,101,0.03426929029405262,Merged
5,median,42,0.01989829759009507,Merged
5,median,123,0.03426929029405262,Merged
5,median,456,0.048861375193455674,Merged
5,median,789,0.055936325447711696,Merged
5,median,101,0.03426929029405262,Merged
5,Avg Individual,42,0.37338049966836173,Individual
5,Best Individual,42,0.5182401061242539,Individual
5,Avg Individual,123,0.4890117178863586,Individual
5,Best Individual,123,0.567322573513155,Individual
5,Avg Individual,456,0.42166703515365905,Individual
5,Best Individual,456,0.5945169135529516,Individual
5,Avg Individual,789,0.4351094406367456,Individual
5,Best Individual,789,0.5724076940084015,Individual
5,Avg Individual,101,0.493168251160734,Individual
5,Best Individual,101,0.5138182622153438,Individual
10,c2m3,42,0.055936325447711696,Merged
10,c2m3,123,0.018350652221976564,Merged
10,c2m3,456,0.032942737121379614,Merged
10,c2m3,789,0.0565996020340482,Merged
10,c2m3,101,0.029626354189697102,Merged
10,fedavg,42,0.055936325447711696,Merged
10,fedavg,123,0.020561574176431573,Merged
10,fedavg,456,0.04930355958434667,Merged
10,fedavg,789,0.055936325447711696,Merged
10,fedavg,101,0.03426929029405262,Merged
10,simple_avg,42,0.055936325447711696,Merged
10,simple_avg,123,0.020561574176431573,Merged
10,simple_avg,456,0.04930355958434667,Merged
10,simple_avg,789,0.055936325447711696,Merged
10,simple_avg,101,0.03426929029405262,Merged
10,median,42,0.04930355958434667,Merged
10,median,123,0.03426929029405262,Merged
10,median,456,0.04930355958434667,Merged
