Epochs,Method,Accuracy,Std,Median,Min,Max,CI_Lower,CI_Upper
5,c2m3,0.10736237010833519,0.02191718503485415,0.10811408357284988,0.06898076497899625,0.13641388458987397,0.08014859050858643,0.13457614970808396
5,fedavg,0.17753703294273712,0.051419409565672564,0.17200972805659961,0.11828432456334291,0.2630997125801459,0.11369140327614713,0.24138266260932711
5,simple_avg,0.06363033384921513,0.015410237044057367,0.0583683395976122,0.04952465177979217,0.09352199867344682,0.04449599730782307,0.08276467039060718
5,median,0.05783771832854301,0.007170480407030551,0.055936325447711696,0.049966836170683177,0.07141277912889675,0.048934390957307686,0.06674104569977833
5,Avg Individual,0.21515808091974353,0.03322211577817076,0.21985407915100597,0.17192129117842142,0.251204952465178,0.1739073758138316,0.2564087860256555
5,Best Individual,0.48162723855847894,0.060005187596811005,0.4961308865797037,0.3953128454565554,0.571302233031174,0.4071209574140555,0.5561335197029024
10,c2m3,0.19389785540570417,0.06142385267896648,0.18262215343798363,0.10921954455007739,0.296263541896971,0.11763006890325951,0.27016564190814885
10,fedavg,0.15604687154543445,0.049066609927521876,0.1472474021667035,0.0857837718328543,0.23059915984965731,0.09512262848452302,0.21697111460634588
10,simple_avg,0.07747070528410346,0.027927926461191008,0.056157417643157195,0.05217775812513818,0.1147468494362149,0.04279360445276027,0.11214780611544665
10,median,0.05491930134866239,0.015439518796201784,0.055936325447711696,0.0289630776033606,0.07760336060137077,0.035748606709828275,0.0740899959874965
10,Avg Individual,0.3915719655096175,0.040142370894778685,0.3777139066990935,0.3495025425602476,0.4444395312845456,0.3417286287670281,0.4414153022522069
10,Best Individual,0.6180853415874419,0.04735412905756276,0.6186159628565112,0.5469820915321689,0.6871545434446164,0.5592874243703714,0.6768832588045124
15,c2m3,0.19142162281671457,0.031643352700384285,0.18461198319699315,0.14658412558036701,0.23811629449480434,0.15213121098618348,0.23071203464724566
15,fedavg,0.13433561795268628,0.05043337360859063,0.10501879283661286,0.08290957329206279,0.2060579261552067,0.07171431363493931,0.19695692227043327
15,simple_avg,0.06827326995357064,0.03167670219743261,0.055936325447711696,0.048861375193455674,0.13132876409462746,0.028941449253196423,0.10760509065394486
15,median,0.05801459208489941,0.019955992707004672,0.055936325447711696,0.0289630776033606,0.09175326110988283,0.03323595439219479,0.08279322977760403
15,Avg Individual,0.4718195887685165,0.04496141149699012,0.4708821578598276,0.40950696440415657,0.5282334733583904,0.41599262280427896,0.527646554732754
15,Best Individual,0.6617289409683839,0.019658565200947963,0.6539907141277913,0.6413884589873977,0.6986513376077824,0.6373196083020254,0.6861382736347423
20,c2m3,0.19557815609109,0.04916875692188987,0.18173778465620163,0.12513818262215343,0.27238558478885694,0.13452708078474712,0.2566292313974329
20,fedavg,0.15158080919743533,0.04612273596582723,0.14017245191244748,0.09153216891443731,0.21313287640946274,0.09431186845000963,0.20884974994486102
20,simple_avg,0.07769179747954898,0.034141274160989804,0.058810523988503206,0.04930355958434667,0.1432677426486845,0.03529980650104343,0.12008378845805452
20,median,0.055184611983197,0.015469882689564805,0.055936325447711696,0.0289630776033606,0.07141277912889675,0.03597621559112872,0.07439300837526527
20,Avg Individual,0.514101260225514,0.048552898007917226,0.5084678310855626,0.4515586999778908,0.575724076940084,0.45381487476062377,0.5743876456904041
20,Best Individual,0.6646031395091754,0.0236876325096258,0.6696882600044218,0.6318814945832412,0.699314614194119,0.6351910590192918,0.6940152199990589
25,c2m3,0.18611541012602256,0.04873654374502434,0.18461198319699315,0.11739995578156091,0.24872871987618836,0.12560099836094288,0.24662982189110225
25,fedavg,0.13690028741985408,0.02926158338928566,0.137740437762547,0.09728056599602034,0.18682290515144814,0.10056723279494073,0.17323334204476742
25,simple_avg,0.07039575502984745,0.026942640017132116,0.059031616183948706,0.04930355958434667,0.12359053725403493,0.03694204890401039,0.1038494611556845
25,median,0.058191465841255806,0.018349533408086115,0.05505195666592969,0.0289630776033606,0.07848772938315278,0.03540751082459802,0.0809754208579136
25,Avg Individual,0.5348485518461198,0.044486506477676636,0.5192571302233031,0.4851204952465178,0.6064116736679195,0.4796112583469301,0.5900858453453095
25,Best Individual,0.6696440415653327,0.018982744661723148,0.6641609551182843,0.6416095511828432,0.6933451249170904,0.6460738509317764,0.6932142321988891
