Epochs,Method,Seed,Accuracy,Type
5,c2m3,42,0.10678753040017687,Merged
5,c2m3,123,0.10811408357284988,Merged
5,c2m3,456,0.1165155869997789,Merged
5,c2m3,789,0.06898076497899625,Merged
5,c2m3,101,0.13641388458987397,Merged
5,fedavg,42,0.2630997125801459,Merged
5,fedavg,123,0.11828432456334291,Merged
5,fedavg,456,0.1998673446827327,Merged
5,fedavg,789,0.17200972805659961,Merged
5,fedavg,101,0.13442405483086448,Merged
5,simple_avg,42,0.0583683395976122,Merged
5,simple_avg,123,0.055936325447711696,Merged
5,simple_avg,456,0.04952465177979217,Merged
5,simple_avg,789,0.06080035374751271,Merged
5,simple_avg,101,0.09352199867344682,Merged
5,median,42,0.07141277912889675,Merged
5,median,123,0.055936325447711696,Merged
5,median,456,0.055936325447711696,Merged
5,median,789,0.055936325447711696,Merged
5,median,101,0.049966836170683177,Merged
5,Avg Individual,42,0.17192129117842142,Individual
5,Best Individual,42,0.3953128454565554,Individual
5,Avg Individual,123,0.21985407915100597,Individual
5,Best Individual,123,0.5054167587884147,Individual
5,Avg Individual,456,0.2504974574397524,Individual
5,Best Individual,456,0.571302233031174,Individual
5,Avg Individual,789,0.18231262436435994,Individual
5,Best Individual,789,0.43997346893654654,Individual
5,Avg Individual,101,0.251204952465178,Individual
5,Best Individual,101,0.4961308865797037,Individual
10,c2m3,42,0.10921954455007739,Merged
10,c2m3,123,0.21379615299579924,Merged
10,c2m3,456,0.296263541896971,Merged
10,c2m3,789,0.16758788414768958,Merged
10,c2m3,101,0.18262215343798363,Merged
10,fedavg,42,0.23059915984965731,Merged
10,fedavg,123,0.1472474021667035,Merged
10,fedavg,456,0.18527525978332965,Merged
10,fedavg,789,0.13132876409462746,Merged
10,fedavg,101,0.0857837718328543,Merged
10,simple_avg,42,0.055936325447711696,Merged
10,simple_avg,123,0.10833517576829538,Merged
10,simple_avg,456,0.1147468494362149,Merged
10,simple_avg,789,0.05217775812513818,Merged
10,simple_avg,101,0.056157417643157195,Merged
10,median,42,0.055936325447711696,Merged
10,median,123,0.07760336060137077,Merged
10,median,456,0.056157417643157195,Merged
10,median,789,0.0289630776033606,Merged
10,median,101,0.055936325447711696,Merged
10,Avg Individual,42,0.3495025425602476,Individual
10,Best Individual,42,0.592527083793942,Individual
10,Avg Individual,123,0.4336944505858943,Individual
10,Best Individual,123,0.6451470263099712,Individual
10,Avg Individual,456,0.4444395312845456,Individual
10,Best Individual,456,0.6871545434446164,Individual
10,Avg Individual,789,0.3525093964183064,Individual
10,Best Individual,789,0.6186159628565112,Individual
10,Avg Individual,101,0.3777139066990935,Individual
10,Best Individual,101,0.5469820915321689,Individual
15,c2m3,42,0.1744417422065001,Merged
15,c2m3,123,0.21335396860490824,Merged
15,c2m3,456,0.18461198319699315,Merged
15,c2m3,789,0.14658412558036701,Merged
15,c2m3,101,0.23811629449480434,Merged
15,fedavg,42,0.2060579261552067,Merged
15,fedavg,123,0.08290957329206279,Merged
15,fedavg,456,0.18372761441521115,Merged
15,fedavg,789,0.10501879283661286,Merged
15,fedavg,101,0.09396418306433783,Merged
15,simple_avg,42,0.055936325447711696,Merged
15,simple_avg,123,0.048861375193455674,Merged
15,simple_avg,456,0.13132876409462746,Merged
15,simple_avg,789,0.04930355958434667,Merged
15,simple_avg,101,0.055936325447711696,Merged
15,median,42,0.055936325447711696,Merged
15,median,123,0.057483970815830204,Merged
15,median,456,0.09175326110988283,Merged
15,median,789,0.0289630776033606,Merged
15,median,101,0.055936325447711696,Merged
15,Avg Individual,42,0.40950696440415657,Individual
15,Best Individual,42,0.6413884589873977,Individual
15,Avg Individual,123,0.5140835728498784,Individual
15,Best Individual,123,0.6539907141277913,Individual
15,Avg Individual,456,0.5282334733583904,Individual
15,Best Individual,456,0.6986513376077824,Individual
15,Avg Individual,789,0.4363917753703294,Individual
15,Best Individual,789,0.6626133097501659,Individual
15,Avg Individual,101,0.4708821578598276,Individual
15,Best Individual,101,0.6520008843687818,Individual
20,c2m3,42,0.17687375635640062,Merged
20,c2m3,123,0.18173778465620163,Merged
20,c2m3,456,0.22175547203183726,Merged
20,c2m3,789,0.12513818262215343,Merged
20,c2m3,101,0.27238558478885694,Merged
20,fedavg,42,0.1956665929692682,Merged
20,fedavg,123,0.11739995578156091,Merged
20,fedavg,456,0.21313287640946274,Merged
20,fedavg,789,0.09153216891443731,Merged
20,fedavg,101,0.14017245191244748,Merged
20,simple_avg,42,0.058810523988503206,Merged
20,simple_avg,123,0.07848772938315278,Merged
20,simple_avg,456,0.1432677426486845,Merged
20,simple_avg,789,0.04930355958434667,Merged
20,simple_avg,101,0.05858943179305771,Merged
20,median,42,0.055936325447711696,Merged
20,median,123,0.04974574397523768,Merged
20,median,456,0.07141277912889675,Merged
20,median,789,0.0289630776033606,Merged
20,median,101,0.06986513376077824,Merged
20,Avg Individual,42,0.4515586999778908,Individual
20,Best Individual,42,0.6455892107008623,Individual
20,Avg Individual,123,0.5622374530179085,Individual
20,Best Individual,123,0.6765421180632324,Individual
20,Avg Individual,456,0.575724076940084,Individual
20,Best Individual,456,0.699314614194119,Individual
20,Avg Individual,789,0.4725182401061243,Individual
20,Best Individual,789,0.6696882600044218,Individual
20,Avg Individual,101,0.5084678310855626,Individual
20,Best Individual,101,0.6318814945832412,Individual
25,c2m3,42,0.22993588326332082,Merged
25,c2m3,123,0.14990050851204953,Merged
25,c2m3,456,0.18461198319699315,Merged
25,c2m3,789,0.11739995578156091,Merged
25,c2m3,101,0.24872871987618836,Merged
25,fedavg,42,0.14017245191244748,Merged
25,fedavg,123,0.12248507627680742,Merged
25,fedavg,456,0.18682290515144814,Merged
25,fedavg,789,0.09728056599602034,Merged
25,fedavg,101,0.137740437762547,Merged
25,simple_avg,42,0.059031616183948706,Merged
25,simple_avg,123,0.06234799911563122,Merged
25,simple_avg,456,0.12359053725403493,Merged
25,simple_avg,789,0.04930355958434667,Merged
25,simple_avg,101,0.057705063011275703,Merged
25,median,42,0.05129338934335618,Merged
25,median,123,0.05505195666592969,Merged
25,median,456,0.07716117621047977,Merged
25,median,789,0.0289630776033606,Merged
25,median,101,0.07848772938315278,Merged
25,Avg Individual,42,0.499801017024099,Individual
25,Best Individual,42,0.6608445721866019,Individual
25,Avg Individual,123,0.5636524430687596,Individual
25,Best Individual,123,0.6882600044218439,Individual
25,Avg Individual,456,0.6064116736679195,Individual
25,Best Individual,456,0.6933451249170904,Individual
25,Avg Individual,789,0.4851204952465178,Individual
25,Best Individual,789,0.6641609551182843,Individual
25,Avg Individual,101,0.5192571302233031,Individual
25,Best Individual,101,0.6416095511828432,Individual
