Epochs,Method,Accuracy,Std,Median,Min,Max,CI_Lower,CI_Upper
5,c2m3,0.12730488613751936,0.05038232727820414,0.16294494804333406,0.060358169356621715,0.1735573734247181,0.06474696421045373,0.189862808064585
5,fedavg,0.12699535706389564,0.0501294753402386,0.1423833738669025,0.061905814724740216,0.1996462524872872,0.06475139228507787,0.18923932184271341
5,simple_avg,0.07008622595622375,0.021582947191908522,0.055936325447711696,0.055936325447711696,0.1116515586999779,0.043287457452897866,0.09688499445954965
5,median,0.0546539907141278,0.00256466946716781,0.055936325447711696,0.04952465177979217,0.055936325447711696,0.05146953296945309,0.057838448458802504
5,Avg Individual,0.2218262215343798,0.04740725320104863,0.23329648463409244,0.14291399513597167,0.28649126685827986,0.16296234198090745,0.2806901010878522
5,Best Individual,0.47340260888790625,0.08090541355690312,0.5089542339155427,0.3327437541454787,0.562900729604245,0.37294526961451274,0.5738599481612998
10,c2m3,0.16064558921070088,0.019465457125543227,0.15918638072076055,0.13663497678531947,0.19301348662392218,0.13647603188933488,0.18481514653206688
10,fedavg,0.10961751050187929,0.05434307642357809,0.11983196993146142,0.025204510280787087,0.19190802564669468,0.042141668955086475,0.1770933520486721
10,simple_avg,0.06354189697103693,0.01727441867535332,0.055936325447711696,0.04930355958434667,0.09750165819146585,0.04209287321195192,0.08499092073012195
10,median,0.04315719655096175,0.013209698997484432,0.04930355958434667,0.02564669467167809,0.055936325447711696,0.026755188878676943,0.05955920422324656
10,Avg Individual,0.3647225292947159,0.021152160144366924,0.3662613309750166,0.3406588547424275,0.3988061021445942,0.3384586535592149,0.39098640503021687
10,Best Individual,0.6086225956223745,0.0385901591331645,0.6164050409020562,0.5624585452133539,0.6714569975679858,0.5607065843417699,0.6565386069029792
15,c2m3,0.1529515808091974,0.043095037566100676,0.15586999778907804,0.09374309086889233,0.21092195445500775,0.09944202416213133,0.2064611374562635
15,fedavg,0.11501216007074952,0.04831669340924048,0.1160734026088879,0.036038027857616624,0.18726508954233917,0.05501906135224641,0.17500525878925263
15,simple_avg,0.05394649568870219,0.0077426474218388825,0.055936325447711696,0.041565332743754145,0.06345346009285872,0.04433272913421964,0.06356026224318474
15,median,0.04492593411452576,0.013489450706461747,0.055936325447711696,0.0278576166261331,0.055936325447711696,0.028176568816767843,0.06167529941228367
15,Avg Individual,0.44963961972142374,0.024862948962704506,0.4408578377183285,0.425160291841698,0.49051514481538805,0.41876819110525587,0.4805110483375916
15,Best Individual,0.6492151227061684,0.0167765713597688,0.6491266858279903,0.6285651116515587,0.6725624585452133,0.6283842580354471,0.6700459873768898
20,c2m3,0.13645810302896305,0.07276377601839255,0.1134202962635419,0.026973247844351095,0.22042891885916427,0.04610994197356241,0.2268062640843637
20,fedavg,0.12575724076940084,0.05939499351412303,0.13154985629007296,0.021667035153659076,0.19124474906035818,0.052008615649368053,0.19950586588943364
20,simple_avg,0.06274596506743312,0.00845185465841534,0.06367455228830422,0.050630112757019674,0.07251824010612426,0.05225160142002799,0.07324032871483824
20,median,0.05116073402608888,0.011163382613556148,0.055936325447711696,0.0289630776033606,0.059031616183948706,0.03729956373666234,0.06502190431551542
20,Avg Individual,0.5148175989387574,0.02216009358002279,0.5305328321910238,0.4757904045987177,0.5323015697545876,0.4873022085436167,0.5423329893338982
20,Best Individual,0.6638956444837497,0.02274968860165971,0.6533274375414548,0.6358611541012602,0.6931240327216449,0.6356481751767222,0.6921431137907772
25,c2m3,0.16718991819588766,0.08393708056020148,0.18372761441521115,0.06831748839265973,0.27525978332964846,0.06296826714995625,0.2714115692418191
25,fedavg,0.12810081804112314,0.051070976320312864,0.1428255582577935,0.04289188591642715,0.18660181295600264,0.06468782539107358,0.19151381069117268
25,simple_avg,0.06305549414105682,0.011371448882577817,0.06102144594295821,0.05151448153880168,0.0844572186601813,0.048935975456145496,0.07717501282596814
25,median,0.04881715675436658,0.010649577536177509,0.05549414105682069,0.0282998010170241,0.055936325447711696,0.035593959731615395,0.06204035377711776
25,Avg Individual,0.5451160734026089,0.014968275388978826,0.5469820915321689,0.5185496351978776,0.5594516913552953,0.5265305047369144,0.5637016420683034
25,Best Individual,0.6623037806765422,0.020359026046843025,0.6745522883042229,0.6307760336060138,0.6840592527083794,0.6370247109956845,0.6875828503573999
