Epochs,Method,Seed,Accuracy,Type
5,c2m3,42,0.1682511607340261,Merged
5,c2m3,123,0.07141277912889675,Merged
5,c2m3,456,0.16294494804333406,Merged
5,c2m3,789,0.060358169356621715,Merged
5,c2m3,101,0.1735573734247181,Merged
5,fedavg,42,0.1996462524872872,Merged
5,fedavg,123,0.1423833738669025,Merged
5,fedavg,456,0.15122706168472252,Merged
5,fedavg,789,0.07981428255582577,Merged
5,fedavg,101,0.061905814724740216,Merged
5,simple_avg,42,0.07097059473800575,Merged
5,simple_avg,123,0.1116515586999779,Merged
5,simple_avg,456,0.055936325447711696,Merged
5,simple_avg,789,0.055936325447711696,Merged
5,simple_avg,101,0.055936325447711696,Merged
5,median,42,0.055936325447711696,Merged
5,median,123,0.055936325447711696,Merged
5,median,456,0.04952465177979217,Merged
5,median,789,0.055936325447711696,Merged
5,median,101,0.055936325447711696,Merged
5,Avg Individual,42,0.24183064337828872,Individual
5,Best Individual,42,0.5089542339155427,Individual
5,Avg Individual,123,0.20459871766526644,Individual
5,Best Individual,123,0.5233252266195003,Individual
5,Avg Individual,456,0.28649126685827986,Individual
5,Best Individual,456,0.562900729604245,Individual
5,Avg Individual,789,0.14291399513597167,Individual
5,Best Individual,789,0.3327437541454787,Individual
5,Avg Individual,101,0.23329648463409244,Individual
5,Best Individual,101,0.43908910015476454,Individual
10,c2m3,42,0.14614194118947602,Merged
10,c2m3,123,0.19301348662392218,Merged
10,c2m3,456,0.13663497678531947,Merged
10,c2m3,789,0.15918638072076055,Merged
10,c2m3,101,0.1682511607340261,Merged
10,fedavg,42,0.19190802564669468,Merged
10,fedavg,123,0.11983196993146142,Merged
10,fedavg,456,0.12469599823126244,Merged
10,fedavg,789,0.0864470484191908,Merged
10,fedavg,101,0.025204510280787087,Merged
10,simple_avg,42,0.055936325447711696,Merged
10,simple_avg,123,0.059031616183948706,Merged
10,simple_avg,456,0.09750165819146585,Merged
10,simple_avg,789,0.04930355958434667,Merged
10,simple_avg,101,0.055936325447711696,Merged
10,median,42,0.055936325447711696,Merged
10,median,123,0.0289630776033606,Merged
10,median,456,0.02564669467167809,Merged
10,median,789,0.04930355958434667,Merged
10,median,101,0.055936325447711696,Merged
10,Avg Individual,42,0.3662613309750166,Individual
10,Best Individual,42,0.6188370550519566,Individual
10,Avg Individual,123,0.3406588547424275,Individual
10,Best Individual,123,0.6164050409020562,Individual
10,Avg Individual,456,0.3988061021445942,Individual
10,Best Individual,456,0.6714569975679858,Individual
10,Avg Individual,789,0.34432898518682287,Individual
10,Best Individual,789,0.5624585452133539,Individual
10,Avg Individual,101,0.37355737342471806,Individual
10,Best Individual,101,0.57395533937652,Individual
15,c2m3,42,0.15586999778907804,Merged
15,c2m3,123,0.18682290515144814,Merged
15,c2m3,456,0.09374309086889233,Merged
15,c2m3,789,0.11739995578156091,Merged
15,c2m3,101,0.21092195445500775,Merged
15,fedavg,42,0.18726508954233917,Merged
15,fedavg,123,0.1160734026088879,Merged
15,fedavg,456,0.12779128896749944,Merged
15,fedavg,789,0.10789299137740438,Merged
15,fedavg,101,0.036038027857616624,Merged
15,simple_avg,42,0.05947380057483971,Merged
15,simple_avg,123,0.06345346009285872,Merged
15,simple_avg,456,0.041565332743754145,Merged
15,simple_avg,789,0.04930355958434667,Merged
15,simple_avg,101,0.055936325447711696,Merged
15,median,42,0.055936325447711696,Merged
15,median,123,0.0289630776033606,Merged
15,median,456,0.0278576166261331,Merged
15,median,789,0.055936325447711696,Merged
15,median,101,0.055936325447711696,Merged
15,Avg Individual,42,0.42692902940526195,Individual
15,Best Individual,42,0.6626133097501659,Individual
15,Avg Individual,123,0.4408578377183285,Individual
15,Best Individual,123,0.6491266858279903,Individual
15,Avg Individual,456,0.49051514481538805,Individual
15,Best Individual,456,0.6725624585452133,Individual
15,Avg Individual,789,0.425160291841698,Individual
15,Best Individual,789,0.6332080477559142,Individual
15,Avg Individual,101,0.46473579482644267,Individual
15,Best Individual,101,0.6285651116515587,Individual
20,c2m3,42,0.21423833738669024,Merged
20,c2m3,123,0.10722971479106788,Merged
20,c2m3,456,0.026973247844351095,Merged
20,c2m3,789,0.1134202962635419,Merged
20,c2m3,101,0.22042891885916427,Merged
20,fedavg,42,0.19124474906035818,Merged
20,fedavg,123,0.13154985629007296,Merged
20,fedavg,456,0.1733362812292726,Merged
20,fedavg,789,0.11098828211364138,Merged
20,fedavg,101,0.021667035153659076,Merged
20,simple_avg,42,0.07097059473800575,Merged
20,simple_avg,123,0.06367455228830422,Merged
20,simple_avg,456,0.07251824010612426,Merged
20,simple_avg,789,0.050630112757019674,Merged
20,simple_avg,101,0.055936325447711696,Merged
20,median,42,0.055936325447711696,Merged
20,median,123,0.0289630776033606,Merged
20,median,456,0.059031616183948706,Merged
20,median,789,0.055936325447711696,Merged
20,median,101,0.055936325447711696,Merged
20,Avg Individual,42,0.5042670793720981,Individual
20,Best Individual,42,0.6533274375414548,Individual
20,Avg Individual,123,0.5311961087773601,Individual
20,Best Individual,123,0.6931240327216449,Individual
20,Avg Individual,456,0.5305328321910238,Individual
20,Best Individual,456,0.6884810966172894,Individual
20,Avg Individual,789,0.4757904045987177,Individual
20,Best Individual,789,0.6358611541012602,Individual
